Iteration       NormGrad          Cost      Rel. cost         Rel. x      Line-search
       85    3.70677e-04   2.03120e-02    1.09556e-12    1.55143e-14               93
       86    4.41872e-04   2.03120e-02    1.50038e-12    2.51061e-15               94
       87    5.18928e-04   2.03120e-02    2.83900e-12    5.25753e-15               98
       88    8.79183e-04   2.03120e-02    4.53205e-12    8.84444e-14               94
       89    2.19066e+12   1.91803e-02    5.57132e-02    1.90281e-04                2
       90    4.83842e+06   1.83638e-02    4.25724e-02    8.57402e-10              150
       91    5.61364e-03   2.02080e-02    1.00428e-01    1.01541e+00                0
       92    9.28541e-01   2.02988e-02    4.49157e-03    5.36469e-05                0
       93    1.08979e-02   2.00306e-02    1.32134e-02    2.42186e-03                0
       94    2.84939e-02   1.85819e-02    7.23241e-02    1.36555e-04                4
       95    3.69130e-04   1.85535e-02    1.52883e-03    1.50006e-07               30
       96    4.71807e+10   1.22513e-02    3.39677e-01    3.52312e-06                3
       97    6.36668e-01   2.04954e-02    6.72916e-01    3.80490e+02                0
       98    4.42391e-05   1.95791e-02    4.47047e-02    1.41945e-07               20
       99    4.33951e-05   1.95791e-02    2.97682e-11    3.24509e-17               78
      100    4.30958e-05   1.95791e-02    2.73969e-11    3.26739e-17               78
      101    1.21525e+00   7.91054e-03    5.95970e-01    5.70480e-10                4
      102    1.00177e+04   7.74422e-03    2.10254e-02    3.86816e-13               48
      103    2.61351e+09   7.74272e-03    1.94109e-04    2.33775e-16              112
      104    9.92751e+08   7.74176e-03    1.22849e-04    1.31720e-15              149
      105    1.11177e+01   1.92872e-02    1.49132e+00    1.32440e-01                0
      106    8.13394e-01   1.98268e-02    2.79733e-02    4.03591e-05                0
      107    7.94983e+02   8.97806e-03    5.47175e-01    4.39295e-08               19
      108    3.31808e+07   7.99296e-03    1.09723e-01    2.33086e-12               51
      109    1.50378e+05   7.81700e-03    2.20148e-02    2.99991e-14              109
      110    1.40782e+05   7.64465e-03    2.20480e-02    1.17121e-12               83
      111    2.25067e+09   6.79024e-03    1.11765e-01    1.62085e-12               86
      112    8.48454e-02   2.10409e-02    2.09869e+00    8.88199e-01                0
      113    5.38481e+10   1.13427e-02    4.60922e-01    5.99710e-07               10
      114    3.02561e-04   2.05291e-02    8.09897e-01    8.66499e+00                0
      115    1.70759e+00   1.97568e-02    3.76165e-02    1.84960e-08                1
      116    3.16828e-01   1.95338e-02    1.12912e-02    4.38159e-06                0
      117    1.33234e-02   1.95656e-02    1.62865e-03    6.61022e-07                0
      118    7.25468e+10   2.01141e-02    2.80357e-02    1.43779e-07                0
      119    5.75818e-03   2.09419e-02    4.11559e-02    9.67925e-01                0
      120    1.79445e+00   2.05684e-02    1.78347e-02    1.77871e-06                2
      121    1.49719e-03   1.94418e-02    5.47743e-02    3.32888e-07               26
      122    1.77427e-04   1.93739e-02    3.49135e-03    4.58609e-09               17
      123    1.51361e-05   1.93738e-02    7.44950e-06    2.16227e-10               22
      124    6.68739e-05   1.93689e-02    2.53642e-04    6.08832e-10                0
      125    3.14981e-05   1.93689e-02    5.17072e-11    2.51949e-16               74
      126    6.36155e-05   1.93689e-02    1.76737e-11    2.29486e-16               72
      127    7.05918e-05   1.93689e-02    2.44780e-10    6.04497e-17               71
      128    6.63611e-05   1.93689e-02    1.49254e-10    8.50865e-18               73
      129    5.08858e+04   1.93689e-02    1.46857e-11    4.54497e-18               75
      130    3.27909e-03   1.89294e-02    2.26894e-02    6.62932e-09               83
      131    2.42886e-05   1.87468e-02    9.64650e-03    1.52353e-09                6
      132    7.70957e-05   1.86590e-02    4.68237e-03    5.56781e-10               11
      133    1.99321e-05   1.85977e-02    3.28618e-03    3.54904e-10                2
      134    1.34201e-05   1.85977e-02    2.03150e-06    2.99063e-12               28
      135    4.17814e-03   1.85975e-02    1.03860e-05    1.80204e-12               19
      136    9.34145e-04   1.84710e-02    6.79969e-03    1.49739e-09               14
      137    1.44182e-02   1.84537e-02    9.35197e-04    2.04469e-10               18
      138    2.08726e+03   1.36535e-02    2.60124e-01    8.04274e-08                3
      139    9.02522e+07   1.36426e-02    7.96607e-04    3.55224e-17               96
      140    2.67525e-02   2.01855e-02    4.79592e-01    6.14397e-03                0
      141    3.91690e-03   2.15908e-02    6.96186e-02    1.84219e-07                0
      142    5.33278e-03   1.98903e-02    7.87618e-02    4.93046e-08                0
      143    5.12370e+02   1.62247e-02    1.84288e-01    8.64784e-07                1
      144    9.64341e+03   9.13531e-03    4.36951e-01    1.16805e-10               40
      145    5.93323e+03   9.13377e-03    1.67625e-04    2.09532e-15              105
      146    7.22394e+03   9.11817e-03    1.70800e-03    1.29209e-14               91
      147    5.76249e+02   9.01561e-03    1.12486e-02    5.44709e-13               75
      148    1.81593e+02   9.01539e-03    2.37786e-05    1.23667e-15              103
      149    2.13237e+03   8.90437e-03    1.23151e-02    2.87938e-12               61
      150    1.82905e-02   2.00972e-02    1.25700e+00    3.97964e-05                0
      151    6.13914e+03   2.08802e-02    3.89622e-02    1.72783e-07                0
      152    6.25406e+12   9.23056e-03    5.57928e-01    3.61463e-13               54
      153    5.53962e-01   1.95894e-02    1.12223e+00    2.13764e+01                0
      154    2.56669e-02   1.94160e-02    8.84794e-03    1.43433e-09               27
      155    3.54741e+01   1.33618e-02    3.11815e-01    2.34982e-09                4
      156    4.34855e+09   1.14374e-02    1.44028e-01    3.07310e-13               40
      157    2.15787e-02   2.00932e-02    7.56803e-01    4.26274e-03                0
      158    2.06278e+01   1.78383e-02    1.12220e-01    8.28743e-09                0
      159    4.13608e+01   1.16448e-02    3.47201e-01    6.68883e-12               32
      160    2.69686e+01   9.00721e-03    2.26506e-01    3.23230e-12               43
      161    2.73092e-04   2.05050e-02    1.27651e+00    4.63748e-08                0
      162    5.10333e-03   2.04498e-02    2.69146e-03    4.96388e-10                0
      163    2.67228e+00   1.52272e-02    2.55386e-01    3.55041e-09                0
      164    7.86820e+09   1.24087e-02    1.85096e-01    6.88238e-12               28
      165    2.30975e-03   2.11615e-02    7.05367e-01    3.89479e-03                0
      166    1.18387e-02   2.05523e-02    2.87863e-02    3.97429e-09                0
      167    5.37170e+00   2.04733e-02    3.84401e-03    3.55188e-08                0
      168    6.34350e+01   1.40511e-02    3.13685e-01    8.54469e-09               26
      169    2.77449e+12   1.40451e-02    4.26329e-04    2.17517e-17               96
      170    3.48732e+11   1.38920e-02    1.09024e-02    2.27034e-15              160
      171    5.48181e-01   2.10736e-02    5.16956e-01    7.14529e-01                0
      172    2.55645e+06   8.38419e-03    6.02147e-01    3.91409e-08               10
      173    2.51437e+10   7.49427e-03    1.06142e-01    1.37278e-14               98
      174    1.62912e+07   7.33827e-03    2.08161e-02    1.71263e-15              144
      175    2.46666e+07   7.29452e-03    5.96144e-03    1.38994e-16              126
      176        NaN   7.29452e-03    0.00000e+00    0.00000e+00              256
Local minimum possible, relative step size smaller than tolerance
