Iteration       NormGrad          Cost      Rel. cost         Rel. x      Line-search
       88    2.28336e-03   2.11415e-03    2.71499e-03    5.08569e-02               20
       89    3.25055e-03   2.10887e-03    2.49685e-03    7.28238e-02               18
       90    3.21162e-03   2.10136e-03    3.56469e-03    9.52790e-02               18
       91    6.23581e-03   2.09370e-03    3.64317e-03    5.65731e-02               20
       92    5.90671e-04   2.08324e-03    4.99718e-03    1.04826e-01               20
       93    9.12926e-04   2.08039e-03    1.36623e-03    3.28811e-02               18
       94    9.25098e-04   2.07761e-03    1.33926e-03    8.40611e-02               16
       95    1.41472e-03   2.07383e-03    1.81788e-03    8.00556e-02               16
       96    1.61228e-03   2.07057e-03    1.57136e-03    6.00894e-02               19
       97    2.29765e-03   2.06732e-03    1.56842e-03    7.64049e-02               18
       98    1.87154e-03   2.06469e-03    1.27490e-03    3.39200e-02               23
       99    2.28682e-03   2.06017e-03    2.18668e-03    4.68254e-02               20
      100    1.09189e-03   2.05465e-03    2.68248e-03    4.51488e-02               21
      101    1.05159e-03   2.05252e-03    1.03271e-03    2.94253e-02               20
      102    1.55985e-03   2.04809e-03    2.15924e-03    5.66917e-02               17
      103    1.14504e-03   2.04219e-03    2.88358e-03    6.65709e-02               18
      104    1.61864e-03   2.03830e-03    1.90058e-03    4.66119e-02               18
      105    3.00803e-03   2.03092e-03    3.62242e-03    8.91585e-02               16
      106    1.98668e-03   2.02311e-03    3.84577e-03    8.04968e-02               19
      107    3.89367e-03   2.01955e-03    1.75909e-03    4.71865e-02               20
      108    7.99252e-04   2.01619e-03    1.66347e-03    6.02618e-02               22
      109    2.94059e-03   2.01010e-03    3.01981e-03    9.49663e-02               13
      110    6.56970e-04   2.00634e-03    1.87269e-03    3.89222e-02               23
      111    3.40493e-04   2.00509e-03    6.20539e-04    1.83938e-02               21
      112    7.47010e-04   2.00395e-03    5.68606e-04    3.44446e-02               17
      113    3.69656e-04   2.00327e-03    3.41845e-04    2.11224e-02               23
      114    5.28130e-04   2.00221e-03    5.28862e-04    1.88589e-02               20
      115    7.16007e-04   2.00029e-03    9.60725e-04    3.83142e-02               18
      116    3.54573e-04   1.99937e-03    4.59080e-04    3.28725e-02               20
      117    6.15109e-04   1.99797e-03    6.98080e-04    4.38393e-02               16
      118    2.88849e-04   1.99717e-03    3.99544e-04    2.28365e-02               21
      119    8.70440e-04   1.99477e-03    1.20109e-03    3.55839e-02               16
      120    2.21764e-04   1.99361e-03    5.86121e-04    2.39205e-02               23
      121    5.49286e-04   1.99303e-03    2.88562e-04    2.40147e-02               17
      122    2.47905e-04   1.99209e-03    4.69693e-04    1.84083e-02               22
      123    5.45193e-04   1.99136e-03    3.71067e-04    1.46272e-02               19
      124    7.16390e-04   1.98871e-03    1.32586e-03    3.52835e-02               18
      125    4.42899e-04   1.98718e-03    7.72282e-04    2.35849e-02               21
      126    4.17022e-04   1.98600e-03    5.91398e-04    2.57700e-02               19
      127    2.44409e-04   1.98516e-03    4.26130e-04    1.50405e-02               22
      128    2.27811e-04   1.98452e-03    3.23636e-04    2.07493e-02               19
      129    1.97758e-04   1.98394e-03    2.87251e-04    2.12094e-02               19
      130    3.59945e-04   1.98335e-03    2.99041e-04    2.14060e-02               18
      131    1.83426e-04   1.98251e-03    4.24256e-04    3.31483e-02               18
      132    2.79497e-04   1.98136e-03    5.78169e-04    3.47484e-02               15
      133    8.85881e-05   1.98070e-03    3.33572e-04    1.78994e-02               20
      134    1.32296e-04   1.97943e-03    6.42424e-04    3.14855e-02               14
      135    6.75305e-05   1.97922e-03    1.05723e-04    1.19660e-02               21
      136    4.91597e-05   1.97902e-03    1.02486e-04    1.84862e-02               17
      137    6.44193e-05   1.97858e-03    2.22959e-04    1.81723e-02               16
      138    8.20373e-05   1.97851e-03    3.51640e-05    6.68049e-03               21
      139    1.03182e-04   1.97839e-03    5.83254e-05    8.42969e-03               21
      140    6.13898e-05   1.97807e-03    1.63288e-04    1.51801e-02               19
      141    1.11325e-04   1.97800e-03    3.63730e-05    6.88965e-03               21
      142    5.91798e-05   1.97787e-03    6.30306e-05    8.01631e-03               23
      143    7.90484e-05   1.97762e-03    1.29960e-04    1.05620e-02               18
      144    7.46320e-05   1.97723e-03    1.97231e-04    2.02489e-02               16
      145    6.27556e-05   1.97705e-03    9.08893e-05    9.11619e-03               20
      146    7.44349e-05   1.97683e-03    1.09262e-04    1.06143e-02               19
      147    7.78173e-05   1.97660e-03    1.16341e-04    1.25903e-02               19
      148    6.75120e-05   1.97643e-03    8.65969e-05    1.26863e-02               19
      149    9.09806e-05   1.97630e-03    6.44307e-05    1.27495e-02               18
      150    1.30006e-04   1.97611e-03    9.76898e-05    1.54083e-02               18
      151    5.57056e-05   1.97575e-03    1.78864e-04    1.28011e-02               20
      152    6.20080e-05   1.97548e-03    1.41223e-04    1.37253e-02               17
      153    4.52790e-05   1.97530e-03    8.72427e-05    9.64527e-03               20
      154    2.34883e-05   1.97521e-03    4.83135e-05    8.10492e-03               20
      155    1.03093e-04   1.97501e-03    1.00356e-04    1.40589e-02               15
      156    4.51378e-05   1.97484e-03    8.80249e-05    1.54013e-02               21
      157    7.97500e-05   1.97453e-03    1.53433e-04    2.84312e-02               14
      158    2.86340e-05   1.97428e-03    1.29290e-04    1.63533e-02               19
      159    5.24102e-05   1.97410e-03    8.86852e-05    1.18779e-02               16
      160    6.53454e-05   1.97401e-03    4.80994e-05    1.03622e-02               19
      161    8.17806e-05   1.97387e-03    6.99336e-05    1.73078e-02               18
      162    6.85890e-05   1.97366e-03    1.06056e-04    1.16601e-02               21
      163    4.68441e-05   1.97354e-03    5.95265e-05    1.30244e-02               20
      164    5.78849e-05   1.97334e-03    1.00987e-04    1.37659e-02               18
      165    5.31080e-05   1.97327e-03    3.94663e-05    1.05281e-02               20
      166    7.34445e-05   1.97310e-03    8.33492e-05    1.09369e-02               19
      167    8.67151e-05   1.97284e-03    1.33828e-04    2.10166e-02               17
      168    6.56248e-05   1.97264e-03    9.85108e-05    1.40936e-02               19
      169    9.62927e-05   1.97249e-03    7.67238e-05    1.51680e-02               17
      170    1.27621e-04   1.97212e-03    1.87944e-04    1.68806e-02               18
      171    8.26174e-05   1.97180e-03    1.63033e-04    1.41754e-02               20
      172    5.45631e-05   1.97141e-03    1.96119e-04    2.36103e-02               16
      173    2.29612e-05   1.97128e-03    6.88482e-05    1.09995e-02               19
      174    2.46327e-05   1.97119e-03    4.27300e-05    4.53069e-03               20
      175    3.88744e-05   1.97114e-03    2.67395e-05    6.94863e-03               18
      176    1.53143e-05   1.97102e-03    5.96636e-05    1.44670e-02               17
      177    2.90176e-05   1.97092e-03    5.14353e-05    1.10855e-02               15
      178    7.08854e-05   1.97089e-03    1.66983e-05    2.56912e-03               24
      179    3.77463e-05   1.97086e-03    1.59823e-05    3.55674e-03               26
      180    2.27814e-05   1.97082e-03    1.97747e-05    5.72676e-03               21
      181    7.05246e-05   1.97074e-03    3.72231e-05    1.11955e-02               16
      182    5.14906e-05   1.97054e-03    1.02837e-04    1.38147e-02               20
      183    2.98448e-05   1.97044e-03    4.91492e-05    1.29453e-02               19
      184    8.41561e-05   1.97021e-03    1.19752e-04    1.81452e-02               15
      185    2.07515e-05   1.97005e-03    8.28670e-05    1.08152e-02               22
      186    2.98867e-05   1.96998e-03    3.23398e-05    6.71904e-03               18
      187    5.05674e-05   1.96991e-03    3.49028e-05    9.62182e-03               18
