Iteration       NormGrad          Cost      Rel. cost         Rel. x      Line-search interations
       87    3.67703e-05   8.66344e-05    9.29359e-03    7.24122e-05                3
       88    7.73301e-06   8.61644e-05    5.42490e-03    5.25476e-05               10
       89    1.19947e-05   8.59550e-05    2.43053e-03    1.26279e-05               11
       90    1.36577e-05   8.49147e-05    1.21027e-02    8.63851e-05                5
       91    2.61438e-05   8.44911e-05    4.98786e-03    4.64868e-05                8
       92    5.68347e-06   8.41074e-05    4.54214e-03    3.21409e-05               12
       93    1.64294e-05   8.37285e-05    4.50416e-03    5.42470e-05                4
       94    3.73401e-05   8.33320e-05    4.73627e-03    4.03342e-05                9
       95    7.28807e-06   8.22703e-05    1.27401e-02    6.85751e-05               10
       96    1.41833e-05   8.18042e-05    5.66551e-03    1.98339e-05                8
       97    1.54452e-05   8.12088e-05    7.27795e-03    5.72386e-05                7
       98    1.27511e-05   8.08345e-05    4.60971e-03    4.70638e-05                8
       99    1.03705e-05   8.05398e-05    3.64511e-03    3.02532e-05               10
      100    9.28457e-06   8.00338e-05    6.28287e-03    5.47606e-05                6
      101    3.80423e-05   7.96933e-05    4.25463e-03    2.89708e-05                9
      102    6.58101e-05   7.93248e-05    4.62429e-03    5.76336e-05               12
      103    1.70837e-05   7.85174e-05    1.01780e-02    7.28594e-05               13
      104    2.14497e-05   7.82581e-05    3.30236e-03    1.71748e-05               13
      105    1.79477e-05   7.82064e-05    6.61535e-04    7.58333e-06               17
      106    1.33125e-05   7.69990e-05    1.54376e-02    4.90370e-05                9
      107    1.31524e-05   7.60614e-05    1.21779e-02    3.58585e-05                9
      108    7.86033e-06   7.58918e-05    2.22874e-03    3.58043e-06               19
      109    1.83122e-05   7.58869e-05    6.55778e-05    1.31102e-07               33
      110    2.12967e-04   7.58861e-05    1.05098e-05    2.13066e-08               45
      111    2.34898e-03   7.58857e-05    5.34579e-06    9.96246e-09               53
      112    1.31163e+06   7.58855e-05    1.85975e-06    3.38376e-09               67
      113    1.30326e+06   7.58855e-05    1.07155e-15    3.85801e-22              250
