Iteration       NormGrad          Cost      Rel. cost         Rel. x      Line-search
       88    9.28715e-06   8.16439e-05    1.42305e-04    2.71129e-03               22
       89    1.35153e-05   8.09445e-05    8.56615e-03    1.12750e-01                4
       90    7.21341e-06   8.08850e-05    7.34788e-04    8.29006e-03               17
       91    9.94929e-06   8.02074e-05    8.37702e-03    1.02646e-01                2
       92    1.53190e-05   8.00612e-05    1.82372e-03    2.37576e-02               10
       93    1.63074e-05   7.96146e-05    5.57742e-03    7.48947e-02                7
       94    2.97563e-05   7.88723e-05    9.32357e-03    4.79173e-02                9
       95    4.99785e-06   7.82897e-05    7.38696e-03    6.22808e-02               10
       96    1.22305e-05   7.68364e-05    1.85635e-02    9.75023e-02                1
       97    1.70435e-05   7.66169e-05    2.85671e-03    3.16862e-02               10
       98    6.60346e-06   7.62338e-05    4.99935e-03    7.17230e-02                8
       99    2.15027e-05   7.59510e-05    3.70981e-03    4.44586e-02                6
      100    1.39876e-05   7.58535e-05    1.28370e-03    1.21881e-02               17
      101    1.59440e-05   7.50781e-05    1.02229e-02    8.37397e-02                6
      102    1.44125e-05   7.41391e-05    1.25064e-02    1.00936e-01                6
      103    7.28915e-06   7.37248e-05    5.58918e-03    2.32364e-02               12
      104    1.58315e-05   7.32189e-05    6.86122e-03    1.00120e-01                3
      105    1.24073e-05   7.26474e-05    7.80524e-03    1.18891e-01                5
      106    8.61184e-05   7.18444e-05    1.10544e-02    1.08080e-01                3
      107    2.09782e-05   7.16390e-05    2.85822e-03    1.03396e-02               22
      108    1.84073e-05   7.12672e-05    5.18985e-03    4.61248e-02                9
      109    1.44444e-05   7.03651e-05    1.26586e-02    9.54174e-02                6
      110    2.34106e-05   7.01173e-05    3.52135e-03    4.22140e-02                9
      111    1.16445e-05   6.89657e-05    1.64232e-02    7.48779e-02                9
      112    2.14243e-05   6.85288e-05    6.33528e-03    5.86447e-02                6
      113    1.11699e-05   6.79919e-05    7.83464e-03    5.04234e-02               10
      114    4.44598e-06   6.67275e-05    1.85970e-02    1.07899e-01                3
      115    1.02353e-05   6.62285e-05    7.47749e-03    8.73316e-02                2
      116    4.13727e-06   6.59161e-05    4.71663e-03    6.72376e-02                6
      117    1.40753e-05   6.54090e-05    7.69407e-03    7.42579e-02                2
      118    9.69793e-06   6.50700e-05    5.18268e-03    7.58981e-02                7
      119    2.57307e-05   6.45774e-05    7.57023e-03    6.72661e-02                5
      120    1.14724e-05   6.42998e-05    4.29829e-03    2.38961e-02               14
      121    1.32965e-05   6.41124e-05    2.91405e-03    2.95487e-02                9
      122    1.18065e-05   6.30629e-05    1.63702e-02    9.69072e-02                5
      123    4.86269e-06   6.24480e-05    9.75039e-03    5.82952e-02                6
      124    5.64804e-06   6.23420e-05    1.69841e-03    2.50397e-02                7
      125    6.88786e-06   6.19860e-05    5.70916e-03    7.41609e-02                4
      126    6.99279e-06   6.16561e-05    5.32356e-03    5.68612e-02                5
      127    1.35702e-05   6.12859e-05    6.00388e-03    6.88148e-02                3
      128    5.10653e-05   6.08293e-05    7.45011e-03    5.88718e-02                8
      129    3.51897e-06   6.07689e-05    9.92979e-04    1.35269e-02               21
      130    7.61955e-06   6.03548e-05    6.81469e-03    4.35908e-02                4
      131    3.92667e-06   6.00799e-05    4.55466e-03    5.14485e-02                7
      132    5.64379e-06   5.99524e-05    2.12261e-03    1.68386e-02                9
      133    1.20431e-05   5.96891e-05    4.39177e-03    4.97523e-02                5
      134    6.30345e-06   5.92408e-05    7.50921e-03    7.13468e-02                6
      135    2.54137e-05   5.89227e-05    5.36980e-03    2.72886e-02                7
      136    1.20648e-05   5.87038e-05    3.71612e-03    4.34657e-02               11
      137    1.45234e-05   5.83684e-05    5.71298e-03    5.89385e-02                6
      138    4.40598e-06   5.81910e-05    3.03835e-03    2.13688e-02               11
      139    9.42459e-06   5.76932e-05    8.55488e-03    5.63926e-02                3
      140    6.53017e-06   5.73662e-05    5.66815e-03    5.96981e-02                6
      141    8.05944e-06   5.69831e-05    6.67773e-03    7.74915e-02                3
      142    1.23768e-05   5.67865e-05    3.45024e-03    2.35695e-02                8
      143    9.08919e-06   5.64846e-05    5.31646e-03    3.71056e-02                9
      144    6.61885e-06   5.58738e-05    1.08139e-02    4.95497e-02                7
      145    1.38491e-05   5.57025e-05    3.06524e-03    2.49190e-02                8
      146    8.06490e-06   5.53971e-05    5.48368e-03    4.77727e-02                9
      147    6.24610e-06   5.51078e-05    5.22298e-03    4.16592e-02                6
      148    1.42935e-05   5.47160e-05    7.10844e-03    3.27432e-02                7
      149    1.28067e-05   5.45770e-05    2.54016e-03    1.57241e-02               14
