Iteration       NormGrad          Cost      Rel. cost         Rel. x      Line-search
       88    2.01426e+02   4.84792e-01    4.82099e-04    1.16558e-02               53
       89    4.52989e+02   4.84184e-01    1.25398e-03    3.24726e-02               49
       90    2.88904e+02   4.83703e-01    9.93777e-04    3.76707e-02               52
       91    3.63378e+02   4.82817e-01    1.83104e-03    3.03572e-02               51
       92    3.04243e+02   4.82372e-01    9.20997e-04    2.45538e-02               53
       93    5.02017e+02   4.81641e-01    1.51635e-03    3.24477e-02               51
       94    8.41797e+02   4.80766e-01    1.81703e-03    3.42793e-02               53
       95    5.49073e+02   4.80182e-01    1.21474e-03    2.92466e-02               56
       96    1.70428e+02   4.79962e-01    4.58238e-04    1.21856e-02               58
       97    2.14699e+02   4.79818e-01    2.99280e-04    1.18167e-02               53
       98    1.50345e+02   4.79499e-01    6.65344e-04    1.21159e-02               54
       99    1.89824e+02   4.79102e-01    8.27129e-04    2.11868e-02               50
      100    2.56505e+02   4.78785e-01    6.62491e-04    1.38798e-02               53
      101    4.46269e+02   4.78444e-01    7.11552e-04    1.89312e-02               53
      102    2.26032e+02   4.78224e-01    4.59822e-04    1.07899e-02               58
      103    7.02470e+02   4.77324e-01    1.88286e-03    3.29457e-02               50
      104    6.70535e+01   4.77257e-01    1.38512e-04    4.45864e-03               64
      105    1.39136e+02   4.77115e-01    2.98514e-04    1.26979e-02               49
      106    2.43057e+02   4.76942e-01    3.62923e-04    1.36853e-02               52
      107    1.46741e+03   4.76772e-01    3.55340e-04    7.87257e-03               57
      108    1.18696e+06   4.76772e-01    5.40241e-14    8.30298e-13              168
Local minimum possible, relative step size smaller than tolerance
